IDADEMAE,records
,232
8.0,5
9.0,7
10.0,173
11.0,1046
12.0,7267
13.0,48503
14.0,193326
15.0,465294
16.0,775810
17.0,1032449
18.0,1225040
19.0,1389026
20.0,1459434
21.0,1480646
22.0,1481276
23.0,1461351
24.0,1445533
25.0,1432577
26.0,1411372
27.0,1392010
28.0,1371103
29.0,1338131
30.0,1303793
31.0,1219816
32.0,1123345
33.0,1019026
34.0,918221
35.0,818085
36.0,701799
37.0,578056
38.0,463296
39.0,363770
40.0,271871
41.0,188925
42.0,124469
43.0,75895
44.0,43059
45.0,22631
46.0,11234
47.0,5298
48.0,2613
49.0,1615
50.0,971
51.0,671
52.0,479
53.0,381
54.0,289
55.0,139
56.0,92
57.0,73
58.0,65
59.0,64
60.0,36
61.0,42
62.0,30
63.0,29
64.0,20
65.0,25
99.0,421
